"","row_id","drink","date_modified","id_drink","alcoholic","category","drink_thumb","glass","iba","video","ingredient_number","ingredient","measure"
"1",0,"'57 Chevy with a White License Plate","2016-07-18T22:49:04Z",14029,"Alcoholic","Cocktail","http://www.thecocktaildb.com/images/media/drink/qyyvtu1468878544.jpg","Highball glass",NA,NA,1,"Creme de Cacao","1 oz white"
"2",0,"'57 Chevy with a White License Plate","2016-07-18T22:49:04Z",14029,"Alcoholic","Cocktail","http://www.thecocktaildb.com/images/media/drink/qyyvtu1468878544.jpg","Highball glass",NA,NA,2,"Vodka","1 oz"
"3",1,"1-900-FUK-MEUP","2016-07-18T22:27:04Z",15395,"Alcoholic","Shot","http://www.thecocktaildb.com/images/media/drink/uxywyw1468877224.jpg","Old-fashioned glass",NA,NA,1,"Absolut Kurant","1/2 oz"
"4",1,"1-900-FUK-MEUP","2016-07-18T22:27:04Z",15395,"Alcoholic","Shot","http://www.thecocktaildb.com/images/media/drink/uxywyw1468877224.jpg","Old-fashioned glass",NA,NA,2,"Grand Marnier","1/4 oz"
"5",1,"1-900-FUK-MEUP","2016-07-18T22:27:04Z",15395,"Alcoholic","Shot","http://www.thecocktaildb.com/images/media/drink/uxywyw1468877224.jpg","Old-fashioned glass",NA,NA,3,"Chambord raspberry liqueur","1/4 oz"
"6",1,"1-900-FUK-MEUP","2016-07-18T22:27:04Z",15395,"Alcoholic","Shot","http://www.thecocktaildb.com/images/media/drink/uxywyw1468877224.jpg","Old-fashioned glass",NA,NA,4,"Midori melon liqueur","1/4 oz"
"7",1,"1-900-FUK-MEUP","2016-07-18T22:27:04Z",15395,"Alcoholic","Shot","http://www.thecocktaildb.com/images/media/drink/uxywyw1468877224.jpg","Old-fashioned glass",NA,NA,5,"Malibu rum","1/4 oz"
"8",1,"1-900-FUK-MEUP","2016-07-18T22:27:04Z",15395,"Alcoholic","Shot","http://www.thecocktaildb.com/images/media/drink/uxywyw1468877224.jpg","Old-fashioned glass",NA,NA,6,"Amaretto","1/4 oz"
"9",1,"1-900-FUK-MEUP","2016-07-18T22:27:04Z",15395,"Alcoholic","Shot","http://www.thecocktaildb.com/images/media/drink/uxywyw1468877224.jpg","Old-fashioned glass",NA,NA,7,"Cranberry juice","1/2 oz"
"10",1,"1-900-FUK-MEUP","2016-07-18T22:27:04Z",15395,"Alcoholic","Shot","http://www.thecocktaildb.com/images/media/drink/uxywyw1468877224.jpg","Old-fashioned glass",NA,NA,8,"Pineapple juice","1/4 oz"
"11",2,"110 in the shade","2016-02-03T14:51:57Z",15423,"Alcoholic","Beer","http://www.thecocktaildb.com/images/media/drink/xxyywq1454511117.jpg","Beer Glass",NA,NA,1,"Lager","16 oz"
"12",2,"110 in the shade","2016-02-03T14:51:57Z",15423,"Alcoholic","Beer","http://www.thecocktaildb.com/images/media/drink/xxyywq1454511117.jpg","Beer Glass",NA,NA,2,"Tequila","1.5 oz"
"13",3,"151 Florida Bushwacker","2016-07-18T22:28:43Z",14588,"Alcoholic","Milk / Float / Shake","http://www.thecocktaildb.com/images/media/drink/rvwrvv1468877323.jpg","Beer mug",NA,NA,1,"Malibu rum","1/2 oz"
"14",3,"151 Florida Bushwacker","2016-07-18T22:28:43Z",14588,"Alcoholic","Milk / Float / Shake","http://www.thecocktaildb.com/images/media/drink/rvwrvv1468877323.jpg","Beer mug",NA,NA,2,"Light rum","1/2 oz"
"15",3,"151 Florida Bushwacker","2016-07-18T22:28:43Z",14588,"Alcoholic","Milk / Float / Shake","http://www.thecocktaildb.com/images/media/drink/rvwrvv1468877323.jpg","Beer mug",NA,NA,3,"151 proof rum","1/2 oz Bacardi"
"16",3,"151 Florida Bushwacker","2016-07-18T22:28:43Z",14588,"Alcoholic","Milk / Float / Shake","http://www.thecocktaildb.com/images/media/drink/rvwrvv1468877323.jpg","Beer mug",NA,NA,4,"Dark Creme de Cacao","1 oz"
"17",3,"151 Florida Bushwacker","2016-07-18T22:28:43Z",14588,"Alcoholic","Milk / Float / Shake","http://www.thecocktaildb.com/images/media/drink/rvwrvv1468877323.jpg","Beer mug",NA,NA,5,"Cointreau","1 oz"
"18",3,"151 Florida Bushwacker","2016-07-18T22:28:43Z",14588,"Alcoholic","Milk / Float / Shake","http://www.thecocktaildb.com/images/media/drink/rvwrvv1468877323.jpg","Beer mug",NA,NA,6,"Milk","3 oz"
"19",3,"151 Florida Bushwacker","2016-07-18T22:28:43Z",14588,"Alcoholic","Milk / Float / Shake","http://www.thecocktaildb.com/images/media/drink/rvwrvv1468877323.jpg","Beer mug",NA,NA,7,"Coconut liqueur","1 oz"
